What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
United States of America,Massachusetts,< 20,41070,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Don't know,Web Platform,Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,C++,C,Perl,,,,Windows 7,I enjoy going to work,Rather not say,No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,Other media streaming device,,,,Wii,Other gaming system,Kindle Fire,,,,"$1,001-$2,000",Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,newrelic,200,Stack Overflow,
United States of America,Massachusetts,20-24,40944,Education,Student,Student,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,,,C++,C,,HTML5,,,Mac OS X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,20-24,41070,Software Products,Mid Sized (100-999),Desktop Application Developer,,Recommender,,,,,,Hardware,,Software,,,,Don't know,Enterprise,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,xhtml,Windows 7,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,,,,,,Netbook,,,,,,,,,"$1,001-$2,000",Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,,500,Stack Overflow,
Other Europe,,20-24,<2,Software Products,Mature Small Business (25-100),I don't work in tech,,,,,,No Involvement,,,,,,,,,None / Unemployed,Java,,,,,,,,,,,,,,,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,>60,11,Other,"Other (not working, consultant, etc.)",Other,Influencer,Recommender,Approver,Purchaser,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,">$150,000",Other,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,,,Other,Love my job,">$140,000",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,20-24,40944,Manufacturing,"Fortune 1000 (1,000+)",Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,,,,,,,,SQL,C#,,C,,,,,Windows XP,Its a paycheck,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,Regular Mobile Phone,,,,,,,,,,Other gaming system,,,,,"$501-$1,000",Agree,Neutral,Neutral,Agree,Disagree,Disagree,Stack overflow careers,100,Stack Overflow,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Texas,< 20,41070,Web Services,Start Up (1-25),Web Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,Windows 7,I enjoy going to work,"<$20,000",Yes,No thank you,"Tried it, but had a problem",,,,,,,,,,,,,Netbook,,,,,,,,,"$501-$1,000",Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,,1,Stack Overflow,
Africa,,< 20,<2,Software Products,Student,Student,,,Approver,,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Mobile,Java,,,,,,,,,,,,,,,Windows 7,Love my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,,,,,,,,,iPad,,,"$1,001-$2,000",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,"Stack Exchange and it's sister sites e.g. Area 51, Server Vault etc",500,Stack Overflow,
United States of America,New Jersey,25-29,40944,Web Services,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,,,,,Consultants,,Don't know,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Mac OS X,I enjoy going to work,"$60,000 - $80,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,<$100,Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,,2000,Stack Overflow,
United States of America,Texas,20-24,41070,Other,"Fortune 1000 (1,000+)",Embedded Application Developer,,Recommender,,,,,,,,Software,,,,Don't know,Mobile,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,Linux,I enjoy going to work,"$100,000 - $120,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,$251-$500,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,"The ""Case of the Mondays"" thing",1000,Stack Overflow,
Other Europe,,20-24,40944,Software Products,Mature Small Business (25-100),Embedded Application Developer,,Recommender,,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Mobile,Java,,,,,,,,,,,,,,,Windows 7,I enjoy going to work,"<$20,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,Other gaming system,,,,,$100-$250,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,2000,Stack Overflow,
Middle East,,< 20,40944,Other,"Other (not working, consultant, etc.)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,,PHP,,,,,,,C,,,,,Windows 7,I wish I had a job!,Student / Unemployed,Yes,No thank you,Other (please specify),I am currently not interested in being employed.,,,,,,Regular Mobile Phone,,,,,,,,,,Other gaming system,,,,,$251-$500,Disagree,Agree,Neutral,Agree,Strongly Disagree,Neutral,,2000,Stack Overflow,
United States of America,California,35-39,11,Software Products,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,,,,,,,,,,HTML5,,,Mac OS X,Its a paycheck,"$100,000 - $120,000",Yes,No thank you,Other (please specify),Never used your career site.  Have used others.,iPhone,,,,,,,,,,,,,,,,,iPad,,,">$3,000",Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,none,Don't have an account,Stack Overflow,
North America (Other),,35-39,11,Software Products,"Other (not working, consultant, etc.)",Embedded Application Developer,,Recommender,Approver,,,,,,,Software,,Consultants,,Don't know,Mobile,,,,,,Objective-C,,,,,C,,,,,Mac OS X,I'm not happy in my job,"$120,000 - $140,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,Xbox,,,,,,,"$2,001-$3,000",Neutral,Neutral,Agree,Agree,Neutral,Neutral,,2000,Stack Overflow,
United States of America,California,40-50,41070,Web Services,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,Its a paycheck,"$80,000 - $100,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,Windows Phone,,,Kindle,,,,,,,Xbox,Wii,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Don't have an account,Stack Overflow,
United States of America,Ohio,25-29,41070,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,,,,"<$10,000",Mobile,Java,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,C++,C,,,,,Windows 7,Its a paycheck,"$60,000 - $80,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,Other media streaming device,,,,Wii,,,,Other tablet,,"$1,001-$2,000",Agree,Agree,Agree,Agree,Neutral,Neutral,,10000,Stack Overflow,
United States of America,California,25-29,41070,Finance / Banking,Start Up (1-25),Server Programmer,,,Approver,Purchaser,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Enterprise,,,,,Python,,,,,C++,C,,,,"scala, haskell",Mac OS X,Love my job,">$140,000",Yes,Yes,,,iPhone,,,,,,Kindle,,AppleTV,,,,,Xbox,,,,,,,"$501-$1,000",Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,"Microsoft, Adobe",2000,Stack Overflow,
Australia,,40-50,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Influencer,,,,,,,,,Software,,,,Don't know,Enterprise,Java,,,,,Objective-C,,,C#,,,,,,,Mac OS X,Its a paycheck,"$60,000 - $80,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,,,,,,,,,iPad,,,"$501-$1,000",Neutral,Neutral,Neutral,Agree,Disagree,Disagree,I really don't look much at the ads - Stack overflow's content is what I'm interested in,Don't have an account,Stack Overflow,
United States of America,Minnesota,20-24,40944,Other,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Other,Java,JavaScript,CSS,,,Objective-C,,SQL,C#,,,,HTML5,,,Windows 7,Love my job,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,Xbox,Wii,Other gaming system,,,,,$251-$500,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Other sites in your network,1,Stack Overflow,
United Kingdom,,20-24,<2,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,,,,,,,,,,C++,,,,,,Linux,Its a paycheck,"$20,000 - $40,000",Yes,Yes,,,iPhone,,,,,,Kindle,,,Boxee,,,,Xbox,,,,,,,"$2,001-$3,000",Neutral,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,,500,Other Stack Exchange (please specify),Ask Ubuntu
United States of America,Florida,30-34,11,Other,Mid Sized (100-999),Manager of Developers or Team Leader,Influencer,Recommender,,,,,,,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,Don't know,Enterprise,,JavaScript,,,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,"$80,000 - $100,000",Yes,Yes,,,,Android,,,,,,,AppleTV,,,,,,Wii,,,iPad,,,$251-$500,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,,2000,Stack Overflow,
Other Europe,,20-24,41070,Web Services,Start Up (1-25),Web Application Developer,,,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,">$150,000",Web Platform,,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,,Linux,Love my job,Rather not say,Yes,No thank you,Other (please specify),"I just don't need it, even if you believe otherwise.  I like surveys but you should ask a question _once_... BTW: it's Poland, not ""other Europe"" -- not really welcoming first question with so many countries skipped.",,Android,,,Other Smart Phone,Regular Mobile Phone,,,,,Other media streaming device,Netbook,,,,,,,Other tablet,,">$3,000",Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,,Don't have an account,Stack Overflow,
United States of America,Texas,35-39,11,Healthcare,Mature Small Business (25-100),Server Programmer,Influencer,,,,,,,Hardware,,Software,,,Other,Don't know,Enterprise,,JavaScript,CSS,,,,,SQL,C#,,C,,HTML5,,,Windows 7,Love my job,"$100,000 - $120,000",Yes,Yes,,,iPhone,,,,,Regular Mobile Phone,Kindle,,,,,,,,Wii,,Kindle Fire,,,,"$501-$1,000",Agree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,other stack exchange sites,1000,Stack Overflow,
United States of America,Oregon,30-34,11,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,,,,"<$10,000",Web Platform,,JavaScript,,PHP,,,,SQL,,,,,,,,Mac OS X,I enjoy going to work,"$60,000 - $80,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,-,1,Stack Overflow,
United States of America,Michigan,30-34,40944,Manufacturing,Mature Small Business (25-100),Desktop Application Developer,Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$25,001 - $40,000",Enterprise,Java,,,,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,Kindle,,,,,Netbook,PS3,,Wii,,,,,,$251-$500,Agree,Agree,Agree,Neutral,Disagree,Disagree,"Careers 2.0, Silverlight",100,Stack Overflow,
Other Europe,,25-29,<2,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,California,25-29,41070,Education,Start Up (1-25),Web Application Developer,,,,Purchaser,,,,,,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,actionscript,Windows 7,I enjoy going to work,"$60,000 - $80,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,,,,,,,,PS3,,,,,,,,"$501-$1,000",Neutral,Neutral,Agree,Neutral,Strongly Disagree,Neutral,,100,Stack Overflow,
Other Europe,,30-34,41070,Other,Start Up (1-25),Other,,,,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,Other,"$10,001 - $25,000",Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Mac OS X,I wish I had a job!,Rather not say,Yes,No thank you,Other (please specify),too complicated :),iPhone,,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,,100,Stack Overflow,
United States of America,Nevada,20-24,41070,Consulting,Mature Small Business (25-100),Kernel / Driver Developer,,Recommender,,,,,,Hardware,Servers,Software,,,,"$25,001 - $40,000",Mobile,,,,,Python,Objective-C,,,,C++,C,,HTML5,,Assembler (ARM),Mac OS X,I enjoy going to work,"<$20,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,Regular Mobile Phone,Kindle,,,,,Netbook,,,,,,iPad,Other tablet,,"$2,001-$3,000",Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,,2000,Stack Overflow,
South America,,25-29,41070,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$10,001 - $25,000",Web Platform,,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,Linux,I enjoy going to work,"$100,000 - $120,000",Yes,Yes,,,,Android,,,,,,,,,,Netbook,,,,,,,,,"$501-$1,000",Agree,Neutral,Neutral,Agree,Neutral,Disagree,,1,Stack Overflow,
United States of America,California,25-29,11,Web Services,Start Up (1-25),Web Application Developer,,Recommender,,,,,,,,Software,,,,Don't know,Web Platform,,JavaScript,CSS,PHP,Python,,Ruby,,,,,,HTML5,,,Mac OS X,Love my job,"$80,000 - $100,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,AppleTV,,,,,,Wii,,,iPad,,Google TV,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,only ads for Stack overflow careers.,500,Stack Overflow,
Germany,,30-34,11,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,Purchaser,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"<$10,000",Enterprise,Java,JavaScript,CSS,,Python,Objective-C,,SQL,,C++,C,,HTML5,,,Mac OS X,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,iPhone,,,,,Regular Mobile Phone,Kindle,,AppleTV,,,,,,,Other gaming system,,iPad,,,"$501-$1,000",Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,google on the appengine tag  msdn or other ms stuff?  other stackexchange sites,1000,Stack Overflow,
Other Europe,,30-34,41070,Software Products,Mature Small Business (25-100),Server Programmer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,SQL,,,,,,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,Regular Mobile Phone,,,,,,,,,,Other gaming system,,,Other tablet,,"$501-$1,000",Neutral,Neutral,Neutral,Disagree,Disagree,,,Don't have an account,Stack Overflow,
Russia,,25-29,41070,Web Services,Start Up (1-25),Manager of Developers or Team Leader,Influencer,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Web Platform,,,CSS,PHP,Python,,,SQL,,C++,,,,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,,,,,,,,,,Other tablet,,"$501-$1,000",Agree,Agree,,Agree,,,,1,Stack Overflow,
United Kingdom,,30-34,41070,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,SQL,,,,,,,,Windows XP,I enjoy going to work,Rather not say,No,No thank you,Didn't know about Careers before you asked,,iPhone,,,,,,Kindle,,,,,,,Xbox,,,,iPad,,,"$2,001-$3,000",Neutral,Agree,Neutral,Disagree,Neutral,Neutral,,1,Stack Overflow,
United States of America,Florida,< 20,<2,Software Products,Student,Student,Influencer,Recommender,Approver,Purchaser,,No Involvement,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"<$10,000",Mobile,,,,,,Objective-C,,,,C++,C,,,,,Mac OS X,I wish I had a job!,Student / Unemployed,Yes,No thank you,Other (please specify),I am a Middle School Student.,iPhone,,,Windows Phone,Other Smart Phone,Regular Mobile Phone,Kindle,,,,,,,,Wii,,,iPad,,,">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,None,50,Stack Overflow,
United States of America,Minnesota,30-34,11,Education,"Fortune 1000 (1,000+)",Database Administrator,Influencer,Recommender,,,,,,,,Software,,,,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Michigan,< 20,41070,Software Products,Start Up (1-25),Kernel / Driver Developer,,,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Enterprise,Java,,,,,,,,C#,C++,C,,,,x86 assembly,Other,I wish I had a job!,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,Other Smart Phone,,,,,,,Netbook,,,,,,,Other tablet,,"$2,001-$3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,"The one console and terminal manager, starts with a S I think, I looked it over one day, but wasn't for me.",1,Stack Overflow,
United States of America,Washington,30-34,41070,Software Products,Mid Sized (100-999),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,Objective-C,Ruby,,,,,,,,,Mac OS X,Love my job,Rather not say,No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,,,,,,,,,,,,,,,,,$100-$250,Agree,Agree,Agree,Agree,Neutral,Neutral,,Don't have an account,Stack Overflow,
Other Europe,,25-29,11,Software Products,Start Up (1-25),Desktop Application Developer,Influencer,Recommender,Approver,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Other,,,,PHP,,,,,,C++,,,,,lua,Linux,Its a paycheck,Rather not say,Yes,No thank you,Other (please specify),"I do live and work in Poland. I've checked few times (and just now, to be sure) careers site and You've handn't much offers for guys from Poland. Of course, I do check work possibilities abroad (in UK particularly), but it's not my priority for now. Other thing is, that I do not have blog, I don't have a public repository, so there's not much to show for now. Maybe I should have start one? :) Maybe I will, time will show.",,Android,,,Other Smart Phone,,,,,,,,,,,,,,,"networked bluray player, few Amigas remembering oldtime scene coding :)",$100-$250,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,"eee, none? :) sorry :)",50,Stack Overflow,
France,,25-29,11,Web Services,Mature Small Business (25-100),Student,Influencer,,,,,,,,Servers,,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Enterprise,,,CSS,PHP,,,,SQL,C#,,,,HTML5,,shell,Linux,I enjoy going to work,"<$20,000",No,No thank you,Didn't know about Careers before you asked,,,Android,,,,,Kindle,,,,,Netbook,,Xbox,,Other gaming system,,,,asus zenbook,"$1,001-$2,000",Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,,Don't have an account,Stack Overflow,
United States of America,New Jersey,20-24,40944,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,">$150,000",Other,Java,JavaScript,CSS,,,,Ruby,SQL,,,,,HTML5,,,Windows XP,Love my job,">$140,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,Kindle,,,,,,,Xbox,,,,,Other tablet,,">$3,000",Agree,Agree,Agree,Agree,Disagree,Disagree,Stack Exchange,500,Stack Overflow,
United States of America,New York,< 20,40944,Gaming,Start Up (1-25),Desktop Application Developer,,,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Other,Java,JavaScript,CSS,PHP,,,,SQL,,C++,,,,,Lua,Windows 7,I wish I had a job!,Student / Unemployed,Yes,No thank you,Other (please specify),I'm a Student,,Android,,,,,Kindle,,,,Other media streaming device,,,Xbox,Wii,,,,,,"$501-$1,000",Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,,100,Stack Overflow,
Other Europe,,40-50,11,Software Products,Mid Sized (100-999),Server Programmer,Influencer,,,,,,,,,Software,,,,"<$10,000",Other,Java,,,,,,Ruby,,,C++,C,Perl,,,,Mac OS X,Love my job,"$100,000 - $120,000",Yes,Yes,,,,Android,,,,,,,AppleTV,,,,,,,Other gaming system,,iPad,,,"$501-$1,000",Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
